Megye;Nepesseg;atlag kereset;auto allomany;uj auto;hasznalt;eletkor;;;;;;;;;;;;;;;
Budapest;1 671 004;696 230;712 555;19 122;693 300;12,89;;;;;;;;;;;;;;;
Pest;1 328 790;521 009;645 975;17 341;628 700;17,22;;;;;;;;;;;;;;;
Fejér;419 565;557 728;193 597;5 193;188 400;16,1;;;;;;;;;;;;;;;
Komárom-Esztergom;301 492;570 582;135 161;3 628;131 500;15,73;;;;;;;;;;;;;;;
Veszprém;338 342;513 668;157 320;4 224;153 100;17,47;;;;;;;;;;;;;;;
Győr-Moson-Sopron;471 309;617 838;227 138;6 095;220 900;14,52;;;;;;;;;;;;;;;
Vas;249 812;523 527;122 817;3 289;119 400;17,14;;;;;;;;;;;;;;;
Zala;261 803;462 972;127 018;3 408;123 500;19,39;;;;;;;;;;;;;;;
Baranya;355 315;480 378;148 517;3 986;144 500;18,67;;;;;;;;;;;;;;;
Somogy;295 316;461 984;132 746;3 561;129 200;19,42;;;;;;;;;;;;;;;
Tolna;208 044;522 531;92 692;2 488;90 200;17,17;;;;;;;;;;;;;;;
Borsod-Abaúj-Zemplén;624 219;460 289;225 083;6 041;219 300;19,49;;;;;;;;;;;;;;;
Heves;287 533;528 394;118 652;3 185;115 600;16,98;;;;;;;;;;;;;;;
Nógrád;182 038;440 075;75 773;2 034;73 900;20,4;;;;;;;;;;;;;;;
Hajdú-Bihar;520 656;485 606;197 301;5 297;192 000;18,48;;;;;;;;;;;;;;;
Jász-Nagykun-Szolnok;356 388;467 990;137 569;3 695;134 000;19,17;;;;;;;;;;;;;;;
Szabolcs-Szatmár-Bereg;527 968;409 063;200 543;5 383;195 200;21,94;;;;;;;;;;;;;;;
Bács-Kiskun;494 563;488 872;232 886;6 247;226 300;18,36;;;;;;;;;;;;;;;
Békés;314 380;431 061;125 387;3 360;121 700;20,8;;;;;;;;;;;;;;;
Csongrád-Csanád;391 207;490 169;159 688;4 278;154 900;18,32;;;;;;;;;;;;;;;
Összesen;9 599 744;571 477;4 168 651;111933;4 056 718;15,7;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
